Accession,n_Methods,Methods,PMIDs
SRR13608900,1,Crespo & Del Sol,23873656
SRR13608901,1,Crespo & Del Sol,23873656
SRR13608902,1,Crespo & Del Sol,23873656
SRR13608903,1,Crespo & Del Sol,23873656
SRR13608904,1,Crespo & Del Sol,23873656
SRR13608905,1,Crespo & Del Sol,23873656
SRR13608906,1,Crespo & Del Sol,23873656
SRR13608907,1,Crespo & Del Sol,23873656
SRR13608908,1,Crespo & Del Sol,23873656
SRR13608909,1,Crespo & Del Sol,23873656
SRR13608910,1,Crespo & Del Sol,23873656
SRR13608911,1,Crespo & Del Sol,23873656
SRR13608912,1,Crespo & Del Sol,23873656
SRR13608913,1,Crespo & Del Sol,23873656
SRR13608914,1,Crespo & Del Sol,23873656
SRR13608915,1,Crespo & Del Sol,23873656
SRR13608916,1,Crespo & Del Sol,23873656
SRR13608917,1,Crespo & Del Sol,23873656
SRR13608918,1,Crespo & Del Sol,23873656
SRR13608919,1,Crespo & Del Sol,23873656
SRR13608920,1,Crespo & Del Sol,23873656
SRR13608921,1,Crespo & Del Sol,23873656
SRR13608922,1,Crespo & Del Sol,23873656
SRR13608923,1,Crespo & Del Sol,23873656
SRR13608924,1,Crespo & Del Sol,23873656
SRR13608925,1,Crespo & Del Sol,23873656
SRR13608926,1,Crespo & Del Sol,23873656
SRR13608927,1,Crespo & Del Sol,23873656
SRR13608928,1,Crespo & Del Sol,23873656
SRR13608929,1,Crespo & Del Sol,23873656
SRR13608930,1,Crespo & Del Sol,23873656
SRR13608931,1,Crespo & Del Sol,23873656
SRR13608932,1,Crespo & Del Sol,23873656
SRR13608933,1,Crespo & Del Sol,23873656
SRR13608934,1,Crespo & Del Sol,23873656
SRR13608935,1,Crespo & Del Sol,23873656
SRR13608936,1,Crespo & Del Sol,23873656
SRR13608937,1,Crespo & Del Sol,23873656
SRR13608938,1,Crespo & Del Sol,23873656
SRR13608939,1,Crespo & Del Sol,23873656
SRR13608940,1,Crespo & Del Sol,23873656
SRR13608941,1,Crespo & Del Sol,23873656
SRR13608942,1,Crespo & Del Sol,23873656
SRR13608943,1,Crespo & Del Sol,23873656
SRR13608944,1,Crespo & Del Sol,23873656
SRR13608945,1,Crespo & Del Sol,23873656
SRR13608946,1,Crespo & Del Sol,23873656
SRR13608947,1,Crespo & Del Sol,23873656
SRR13608948,1,Crespo & Del Sol,23873656
SRR13608949,1,Crespo & Del Sol,23873656
SRR13608950,1,Crespo & Del Sol,23873656
SRR13608951,1,Crespo & Del Sol,23873656
SRR13608952,1,Crespo & Del Sol,23873656
SRR13608953,1,Crespo & Del Sol,23873656
SRR13608954,1,Crespo & Del Sol,23873656
SRR13608955,1,Crespo & Del Sol,23873656
SRR13608956,1,Crespo & Del Sol,23873656
SRR13608957,1,Crespo & Del Sol,23873656
SRR13608958,1,Crespo & Del Sol,23873656
SRR13608959,1,Crespo & Del Sol,23873656
SRR13608960,1,Crespo & Del Sol,23873656
SRR13608961,1,Crespo & Del Sol,23873656
